landlot_address,road_name_address,x,y
경기도 수원시 장안구 정자동 37번지 27호,경기도 수원시 장안구 영화로97번길 32 (정자동),200233.915,421376.1742
경기도 수원시 영통구 신동 973,경기도 수원시 영통구 권선로882번길 107-50(신동),203611.2699,416099.338
경기도 수원시 권선구 세류동,경기도 수원시 권선구 덕영대로1145번길 37 (세류동),201445.9763,416782.4881
경기도 수원시 장안구 조원동 750번지 32호,경기도 수원시 장안구 송원로86번길 1 (조원동),200839.3807,422257.7682
경기도 수원시 장안구 영화동 422번지 8호,"경기도 수원시 장안구 수성로262번길 65, 1층 (영화동)",200295.8854,420671.5369
경기도 수원시 장안구 파장동 627번지 1호 수일공판장,"경기도 수원시 장안구 파장천로44번길 76, 수일공판장 1층 (파장동)",199902.5033,422841.1207
경기도 수원시 장안구 율전동 402번지 8호 성대공장,"경기도 수원시 장안구 서부로 2121, 성대공장 1,2층 (율전동)",197341.7451,421783.2053
경기도 수원시팔달구 고등동 226번지 90  호,경기도 수원시 팔달구 팔달로29번길 39-8 (고등동),199838.3695,418826.1326
경기도 수원시 팔달구 우만동 528번지 17호,경기도 수원시 팔달구 팔달문로 131 (우만동),202612.3861,420044.6162
경기도 수원시 팔달구 매교동 25번지 4호 건영캐스빌상가 102호,"경기도 수원시 팔달구 매산로130번길 15, 102호 (매교동, 건영캐스빌상가)",201304.932,418821.265
경기도 수원시 팔달구 남창동 110번지,"경기도 수원시 팔달구 행궁로 41, 1층 (남창동)",201293.1536,419653.0907
경기도 수원시 영통구 영통2동 970번지 5호 벽적골주공9단지상가 101호,"경기도 수원시 영통구 봉영로1517번길 23, 101호 (영통동, 벽적골주공9단지상가)",205837.9851,416298.9864
경기도 수원시 영통구 신동 384번지 33호 1층,"경기도 수원시 영통구 신원로 173-1 (신동,1층)",205145.7314,416645.6894
경기도 수원시 권선구 오목천동 318번지 8호 1층,,196811.5029,416072.2671
경기도 수원시 장안구 연무동 218-42,"경기도 수원시 장안구 창훈로29번길 58, 1층 (연무동)",202387.4818,421565.8802
경기도 수원시 장안구 정자동 464-1,"경기도 수원시 장안구 대평로162번길 33, 1층 (정자동)",199137.7121,422287.5287
경기도 수원시 장안구 정자1동 462번지 3호,경기도 수원시 장안구 대평로162번길 47 (정자동),199200.0242,422317.0168
경기도 수원시 팔달구 인계동 999번지 15호,경기도 수원시 팔달구 효원로193번길 35 (인계동),202019.4476,418176.2536
경기도 수원시장안구 송죽동 479-3호,경기도 수원시 장안구 파장천로44번길 95 (송죽동),199997.5265,422814.3599
경기도 수원시 팔달구 우만동 228 수원월드컵경기장,"경기도 수원시 팔달구 월드컵로 310, 수원월드컵경기장 1층 (우만동)",203263.6108,420600.5447
경기도 수원시팔달구 구천동 10번지 44  호,경기도 수원시 팔달구 중부대로 16 (구천동),201557.9831,419213.9058
경기도 수원시 권선구 고색동 385-3,"경기도 수원시 권선구 매송고색로691번길 6, 1층 (고색동)",198165.2042,416566.186
경기도 수원시권선구 세류동 1075번지 26호,경기도 수원시 권선구 세지로56번길 3 (세류동),201438.5272,417239.0554
경기도 수원시권선구 권선동 965번지 9   호,경기도 수원시 권선구 권선로 638 (권선동),201788.5168,417616.8076
경기도 수원시권선구 구운동 217번지 11  호,경기도 수원시 권선구 서부로 1963 (구운동),197173.4883,420205.2356
경기도 수원시 권선구 구운동 890번지 LD코오롱아파트 상가동 101호,"경기도 수원시 권선구 일월천로16번길 39, 상가동 101호 (구운동,LD코오롱아파트)",197720.7995,420309.2699
경기도 수원시 권선구 서둔동 361번지 제상가1동 제2층 201호,"경기도 수원시 권선구 여기산로 54 (서둔동,제상가1동 제2층 201호)",198124.9924,420069.5271
경기도 수원시 권선구 권선동 1013-1 세종그랑시아 101-1,,,
경기도 수원시 권선구 당수동 218-1 삼정아파트,"경기도 수원시 권선구 당진로14번길 37, 상가동 117호 (당수동, 삼정아파트)",194855.5885,420951.6615
경기도 수원시권선구 곡반정동 511-1,,,
"경기도 수원시영통구 매탄동 810번지 2호 105,106,109,110,111","경기도 수원시 영통구 동수원로 432 (매탄동,105,106,109,110,111)",203742.4957,418331.2606
경기도 수원시 권선구 당수동 287번지 인정프린스아파트,"경기도 수원시 권선구 당진로15번길 53, 상가동 101,102호 (당수동, 인정프린스아파트)",194430.2906,421099.3196
경기도 수원시 권선구 곡반정동 577-1,"경기도 수원시 권선구 곡선로50번길 45-4, 101호, 102호 (곡반정동)",202485.5826,414974.8895
경기도 수원시 권선구 탑동 884-4 태영아이원아파트,"경기도 수원시 권선구 서둔로199번길 37, 101호 (탑동, 태영아이원아파트)",197943.2,418524.6434
경기도 수원시 팔달구 우만1동 493번지 10호,경기도 수원시 팔달구 세지로 415-1 (우만동),202610.3149,420473.298
경기도 수원시 장안구 영화동 311번지 12호 생맥주타운,경기도 수원시 장안구 정조로 927-1 (영화동),201066.1382,420924.2924
경기도 수원시 장안구 송죽동 130번지,"경기도 수원시 장안구 만석로 246, 1층 (송죽동)",200246.2993,422856.1514
경기도 수원시 영통구 이의동 1338번지 광교센트럴푸르지오시티,"경기도 수원시 영통구 도청로 10, 광교센트럴푸르지오시티 1층 판매시설호 (이의동)",204888.8556,420476.3916
경기도 수원시 영통구 원천동 469번지 밀코오토월드,"경기도 수원시 영통구 중부대로448번길 89, 1층 (원천동)",205250.5863,418309.5606
경기도 수원시 영통구 매탄동 1267번지 2호 매탄프라자,"경기도 수원시 영통구 효원로 383, 매탄프라자 1층 109호 (매탄동)",203798.5517,417482.8217
경기도 수원시 영통구 이의동 1351-3 스페이스 광교,"경기도 수원시 영통구 광교로 120, 스페이스 광교 104,105호 (이의동)",204050.6246,421022.0295
경기도 수원시 장안구 파장동 266번지 8호,경기도 수원시 장안구 경수대로 1082 (파장동),199434.9998,423064.7347
경기도 수원시 팔달구 인계동 965번지 18호,경기도 수원시 팔달구 경수대로495번길 19 (인계동),202291.7053,418717.6958
경기도 수원시 장안구 율전동 276번지 4호 1층 3-6호,"경기도 수원시 장안구 화산로203번길 34 (율전동,1층 3-6호)",197591.8995,421790.1904
경기도 수원시 장안구 송죽동 504번지 2호 1층,"경기도 수원시 장안구 송원로 49-1 (송죽동,1층)",200597.8694,421988.4702
경기도 수원시 권선구 곡반정동 564번지 8호   102호,"경기도 수원시 권선구 곡선로 48, 102호 (곡반정동)",202554.7441,415196.0223
경기도 수원시 권선구 탑동 835번지 1호,경기도 수원시 권선구 하탑로 21 (탑동),197624.9085,418544.3448
경기도 수원시 팔달구 우만동 68번지 7호,경기도 수원시 팔달구 중부대로239번길 35 (우만동),203673.8245,419455.7822
경기도 수원시 팔달구 인계동 1046번지 13호 에스팝타워 117호,"경기도 수원시 팔달구 효원로 269, 117호 (인계동, 에스팝타워)",202697.652,417813.8141
경기도 수원시권선구 고색동 81번지 16호,경기도 수원시 권선구 고색로66번길 28-1 (고색동),198548.8532,416381.0834
경기도 수원시권선구 권선동 1000호,경기도 수원시 권선구 세지로 64 (권선동),201471.6073,417308.2486
